id,event_name,status,uniqueid,event_code,type,gender,rounds,rnd_name
1,40 Meter Dash,active,40m,40,dash,"[""Male"",""Female"",""Mixed""]","[1,2,3,4,5]","[""Qtr Finals"",""Prelims"",""Semi Finals"",""Finals""]"
2,50 Meter Dash,active,50m,50,dash,"[""Male"",""Female"",""Mixed""]","[1,2,3,4,5]","[""Qtr Finals"",""Prelims"",""Semi Finals"",""Finals""]"
3,55M Meter Dash,active,55m,55,dash,"[""Male"",""Female"",""Mixed""]","[1,2,3,4,5]","[""Qtr Finals"",""Prelims"",""Semi Finals"",""Finals""]"
4,60 Meter Dash,active,60m,60,dash,"[""Male"",""Female"",""Mixed""]","[1,2,3,4,5]","[""Qtr Finals"",""Prelims"",""Semi Finals"",""Finals""]"
5,100 Meter Dash,active,100m,100,dash,"[""Male"",""Female"",""Mixed""]","[1,2,3,4,5]","[""Qtr Finals"",""Prelims"",""Semi Finals"",""Finals""]"
6,200 Meter Dash,active,200m,200,dash,"[""Male"",""Female"",""Mixed""]","[1,2,3,4,5]","[""Qtr Finals"",""Prelims"",""Semi Finals"",""Finals""]"
7,300 Meter Dash,active,300m,300,dash,"[""Male"",""Female"",""Mixed""]","[1,2,3,4,5]","[""Qtr Finals"",""Prelims"",""Semi Finals"",""Finals""]"
8,400 Meter Dash,active,400m,400,dash,"[""Male"",""Female"",""Mixed""]","[1,2,3,4,5]","[""Qtr Finals"",""Prelims"",""Semi Finals"",""Finals""]"
9,800 Meter Run,active,800m,800,run,"[""Male"",""Female"",""Mixed""]","[1,2,3,4,5]","[""Qtr Finals"",""Prelims"",""Semi Finals"",""Finals""]"
10,1000 Meter Run,active,1000m,1000,run,"[""Male"",""Female"",""Mixed""]","[1,2,3,4,5]","[""Qtr Finals"",""Prelims"",""Semi Finals"",""Finals""]"
11,1200 Meter Run,active,1200m,1200,run,"[""Male"",""Female"",""Mixed""]","[1,2,3,4,5]","[""Qtr Finals"",""Prelims"",""Semi Finals"",""Finals""]"
12,1500 Meter Run,active,1500m,1500,run,"[""Male"",""Female"",""Mixed""]","[1,2,3,4,5]","[""Qtr Finals"",""Prelims"",""Semi Finals"",""Finals""]"
13,1600 Meter Run,active,1600m,1600,run,"[""Male"",""Female"",""Mixed""]","[1,2,3,4,5]","[""Qtr Finals"",""Prelims"",""Semi Finals"",""Finals""]"
14,2000 Meter Run,active,2000m,2000,run,"[""Male"",""Female"",""Mixed""]","[1,2,3,4,5]","[""Qtr Finals"",""Prelims"",""Semi Finals"",""Finals""]"
15,2000M Steeple Chase,active,2000m-steeple-chase,2000S,run,"[""Male"",""Female"",""Mixed""]","[1,2,3,4,5]","[""Qtr Finals"",""Prelims"",""Semi Finals"",""Finals""]"
16,3000 Meter Run,active,3000m,3000,run,"[""Male"",""Female"",""Mixed""]","[1,2,3,4,5]","[""Qtr Finals"",""Prelims"",""Semi Finals"",""Finals""]"
17,3200 Meter Run,active,3200m,3200,run,"[""Male"",""Female"",""Mixed""]","[1,2,3,4,5]","[""Qtr Finals"",""Prelims"",""Semi Finals"",""Finals""]"
18,4000 Meter Run,active,4000m,4000,run,"[""Male"",""Female"",""Mixed""]","[1,2,3,4,5]","[""Qtr Finals"",""Prelims"",""Semi Finals"",""Finals""]"
19,5000 Meter Run,active,5000m,5000,run,"[""Male"",""Female"",""Mixed""]","[1,2,3,4,5]","[""Qtr Finals"",""Prelims"",""Semi Finals"",""Finals""]"
20,8000 Meter Run,active,8ko,8000,run,"[""Male"",""Female"",""Mixed""]","[1,2,3,4,5]","[""Qtr Finals"",""Prelims"",""Semi Finals"",""Finals""]"
21,10000 Meter Run,active,10000m,10000,run,"[""Male"",""Female"",""Mixed""]","[1,2,3,4,5]","[""Qtr Finals"",""Prelims"",""Semi Finals"",""Finals""]"
22,Long Jump,active,long-jump,LJ,jump,"[""Male"",""Female"",""Mixed""]","[1,2,3,4,5]","[""Qtr Finals"",""Prelims"",""Semi Finals"",""Finals""]"
23,High Jump,active,high-jump,HJ,jump,"[""Male"",""Female"",""Mixed""]","[1,2,3,4,5]","[""Qtr Finals"",""Prelims"",""Semi Finals"",""Finals""]"
24,Triple Jump,active,triple-jump,TJ,jump,"[""Male"",""Female"",""Mixed""]","[1,2,3,4,5]","[""Qtr Finals"",""Prelims"",""Semi Finals"",""Finals""]"
25,Pole Vault,active,pole-vault,PV,jump,"[""Male"",""Female"",""Mixed""]","[1,2,3,4,5]","[""Qtr Finals"",""Prelims"",""Semi Finals"",""Finals""]"
26,Shot Put,active,shot-put,SP,throw,"[""Male"",""Female"",""Mixed""]","[1,2,3,4,5]","[""Qtr Finals"",""Prelims"",""Semi Finals"",""Finals""]"
27,Discus,active,discus,DT,throw,"[""Male"",""Female"",""Mixed""]","[1,2,3,4,5]","[""Qtr Finals"",""Prelims"",""Semi Finals"",""Finals""]"
28,Hammer Throw,active,ha Mer-throw,HT,throw,"[""Male"",""Female"",""Mixed""]","[1,2,3,4,5]","[""Qtr Finals"",""Prelims"",""Semi Finals"",""Finals""]"
29,Weight Throw,active,weight-throw,WT,throw,"[""Male"",""Female"",""Mixed""]","[1,2,3,4,5]","[""Qtr Finals"",""Prelims"",""Semi Finals"",""Finals""]"
30,Javelin,active,javelin,JT,throw,"[""Male"",""Female"",""Mixed""]","[1,2,3,4,5]","[""Qtr Finals"",""Prelims"",""Semi Finals"",""Finals""]"
31,Mini Javelin,active,mini-javelin,JT,throw,"[""Male"",""Female"",""Mixed""]","[1,2,3,4,5]","[""Qtr Finals"",""Prelims"",""Semi Finals"",""Finals""]"
32,Finn Flyer Javelin,active,Finn-Flyer-Javelin,JT,throw,"[""Male"",""Female"",""Mixed""]","[1,2,3,4,5]","[""Qtr Finals"",""Prelims"",""Semi Finals"",""Finals""]"
33,4 X 75 Meter Shuttle Relay,active,75sr,300,relay,"[""Male"",""Female"",""Mixed""]","[1,2,3,4,5]","[""Qtr Finals"",""Prelims"",""Semi Finals"",""Finals""]"
34,4X100M Relay,active,4x100m-relay,400,relay,"[""Male"",""Female"",""Mixed""]","[1,2,3,4,5]","[""Qtr Finals"",""Prelims"",""Semi Finals"",""Finals""]"
35,4X200M Relay,active,4x200m-relay,800,relay,"[""Male"",""Female"",""Mixed""]","[1,2,3,4,5]","[""Qtr Finals"",""Prelims"",""Semi Finals"",""Finals""]"
36,4X400M Relay,active,4x400m-relay,1600,relay,"[""Male"",""Female"",""Mixed""]","[1,2,3,4,5]","[""Qtr Finals"",""Prelims"",""Semi Finals"",""Finals""]"
37,4X800M Relay,active,4x800m-relay,3200,relay,"[""Male"",""Female"",""Mixed""]","[1,2,3,4,5]","[""Qtr Finals"",""Prelims"",""Semi Finals"",""Finals""]"
38,4X1600M Relay,active,4x1600m-relay,6400,relay,"[""Male"",""Female"",""Mixed""]","[1,2,3,4,5]","[""Qtr Finals"",""Prelims"",""Semi Finals"",""Finals""]"
39,100M Shuttle Hurdle Relay,active,100msh-relay,400H,hurdles,"[""Male"",""Female"",""Mixed""]","[1,2,3,4,5]","[""Qtr Finals"",""Prelims"",""Semi Finals"",""Finals""]"
40,110M Shuttle Hurdle Relay,active,110msh-relay,440H,hurdles,"[""Male"",""Female"",""Mixed""]","[1,2,3,4,5]","[""Qtr Finals"",""Prelims"",""Semi Finals"",""Finals""]"
41,800M Sprint Medly,active,800m-sm,800S,relay,"[""Male"",""Female"",""Mixed""]","[1,2,3,4,5]","[""Qtr Finals"",""Prelims"",""Semi Finals"",""Finals""]"
42,1600M Sprint Medly,active,1600m-sm,1600S,relay,"[""Male"",""Female"",""Mixed""]","[1,2,3,4,5]","[""Qtr Finals"",""Prelims"",""Semi Finals"",""Finals""]"
43,4000M Distance Medley,active,4000m-dm,4000D,relay,"[""Male"",""Female"",""Mixed""]","[1,2,3,4,5]","[""Qtr Finals"",""Prelims"",""Semi Finals"",""Finals""]"
44,1600 Middle Medley Relay,active,1600 Mm-relay,1600s,relay,"[""Male"",""Female"",""Mixed""]","[1,2,3,4,5]","[""Qtr Finals"",""Prelims"",""Semi Finals"",""Finals""]"
45,2400 Middle Medley Relay,active,2400 M-dm,2400D,relay,"[""Male"",""Female"",""Mixed""]","[1,2,3,4,5]","[""Qtr Finals"",""Prelims"",""Semi Finals"",""Finals""]"
46,1500M Race Walk,active,1500m-race-walk,1500W,walk,"[""Male"",""Female"",""Mixed""]","[1,2,3,4,5]","[""Qtr Finals"",""Prelims"",""Semi Finals"",""Finals""]"
47,3000M Race Walk,active,3000m-race-walk,3000W,walk,"[""Male"",""Female"",""Mixed""]","[1,2,3,4,5]","[""Qtr Finals"",""Prelims"",""Semi Finals"",""Finals""]"
48,5000M Race Walk,active,5000m-race-walk,5000W,walk,"[""Male"",""Female"",""Mixed""]","[1,2,3,4,5]","[""Qtr Finals"",""Prelims"",""Semi Finals"",""Finals""]"
49,10000M Race Walk,active,10000m-race-walk,10000W,walk,"[""Male"",""Female"",""Mixed""]","[1,2,3,4,5]","[""Qtr Finals"",""Prelims"",""Semi Finals"",""Finals""]"
50,Triathlon,active,triathlon,TRI,multi,"[""Male"",""Female"",""Mixed""]","[1,2,3,4,5]","[""Qtr Finals"",""Prelims"",""Semi Finals"",""Finals""]"
51,Pentathlon,active,pentathlon,OPENT,multi,"[""Male"",""Female"",""Mixed""]","[1,2,3,4,5]","[""Qtr Finals"",""Prelims"",""Semi Finals"",""Finals""]"
52,Heptathlon,active,heptathlon,HEP,multi,"[""Male"",""Female"",""Mixed""]","[1,2,3,4,5]","[""Qtr Finals"",""Prelims"",""Semi Finals"",""Finals""]"
53,Decathlon,active,decathlon,DEC,multi,"[""Male"",""Female"",""Mixed""]","[1,2,3,4,5]","[""Qtr Finals"",""Prelims"",""Semi Finals"",""Finals""]"
54,55M Hurdles,active,55m-hurdles,55H,hurdles,"[""Male"",""Female"",""Mixed""]","[1,2,3,4,5]","[""Qtr Finals"",""Prelims"",""Semi Finals"",""Finals""]"
55,60M Hurdles,active,60m-hurdles,60H,hurdles,"[""Male"",""Female"",""Mixed""]","[1,2,3,4,5]","[""Qtr Finals"",""Prelims"",""Semi Finals"",""Finals""]"
56,75M Hurdles,active,75m-hurdles,75H,hurdles,"[""Male"",""Female"",""Mixed""]","[1,2,3,4,5]","[""Qtr Finals"",""Prelims"",""Semi Finals"",""Finals""]"
57,80M Hurdles,active,80m-hurdles,80H,hurdles,"[""Male"",""Female"",""Mixed""]","[1,2,3,4,5]","[""Qtr Finals"",""Prelims"",""Semi Finals"",""Finals""]"
58,100M Hurdles,active,101m-hurdles,100H,hurdles,"[""Male"",""Female"",""Mixed""]","[1,2,3,4,5]","[""Qtr Finals"",""Prelims"",""Semi Finals"",""Finals""]"
59,110M Hurdles,active,110m-hurdles,110H,hurdles,"[""Male"",""Female"",""Mixed""]","[1,2,3,4,5]","[""Qtr Finals"",""Prelims"",""Semi Finals"",""Finals""]"
60,200M Hurdles,active,201m-hurdles,200H,hurdles,"[""Male"",""Female"",""Mixed""]","[1,2,3,4,5]","[""Qtr Finals"",""Prelims"",""Semi Finals"",""Finals""]"
61,300M Hurdles,active,300m-hurdles,300H,hurdles,"[""Male"",""Female"",""Mixed""]","[1,2,3,4,5]","[""Qtr Finals"",""Prelims"",""Semi Finals"",""Finals""]"
62,400M Hurdles,active,400m-hurdles,400H,hurdles,"[""Male"",""Female"",""Mixed""]","[1,2,3,4,5]","[""Qtr Finals"",""Prelims"",""Semi Finals"",""Finals""]"
64,4 X 60 Meter Shuttle Relay,active,60sr,240,relay,"[""Male"",""Female"",""Mixed""]","[1,2,3,4,5]","[""Qtr Finals"",""Prelims"",""Semi Finals"",""Finals""]"
65,150 Meter Dash,active,150m,150,run,"[""Male"",""Female"",""Mixed""]","[1,2,3,4,5]","[""Qtr Finals"",""Prelims"",""Semi Finals"",""Finals""]"
66,80 Meter Dash,active,80m,80,run,"[""Male"",""Female"",""Mixed""]","[1,2,3,4,5]","[""Qtr Finals"",""Prelims"",""Semi Finals"",""Finals""]"
67,500 Meter Run,active,500m,500,run,"[""Male"",""Female"",""Mixed""]","[1,2,3,4,5]","[""Qtr Finals"",""Prelims"",""Semi Finals"",""Finals""]"
68,600 Meter Run,active,600m,600,run,"[""Male"",""Female"",""Mixed""]","[1,2,3,4,5]","[""Qtr Finals"",""Prelims"",""Semi Finals"",""Finals""]"
69,Octathlon,active,octathlon,OCT,multi,"[""Male"",""Female"",""Mixed""]","[1,2,3,4,5]","[""Qtr Finals"",""Prelims"",""Semi Finals"",""Finals""]"
70,6000 Meter Run,active,6000m,6000,run,"[""Male"",""Female"",""Mixed""]","[1,2,3,4,5]","[""Qtr Finals"",""Prelims"",""Semi Finals"",""Finals""]"
71,40M Hurdles,active,40m-hurdles,40H,hurdles,"[""Male"",""Female"",""Mixed""]","[1,2,3,4,5]","[""Qtr Finals"",""Prelims"",""Semi Finals"",""Finals""]"
72,3 Mile,active,3mile,3MILE,run,"[""Male"",""Female"",""Mixed""]","[1,2,3,4,5]","[""Qtr Finals"",""Prelims"",""Semi Finals"",""Finals""]"
73,8X200M Relay,active,8x200m-relay,1600,relay,"[""Male"",""Female"",""Mixed""]","[1,2,3,4,5]","[""Qtr Finals"",""Prelims"",""Semi Finals"",""Finals""]"
